,Unnamed: 0,地域（2010）,自治体コード,うち外国人数,総数,外国人比率（％）
0,0,全国,0,1648037.0,128057352,1.2869522711979864
1,1,北海道,1000,18280.0,5506419,0.3319761899702874
2,2,北海道市部,1001,13441.0,4449360,0.3020883902403941
3,3,北海道郡部,1002,4839.0,1057059,0.457779556297236
4,4,札幌市,1100,6871.0,1913545,0.3590717751607618
5,5,中央区,1101,1225.0,220189,0.5563402349799491
6,6,北区,1102,1541.0,278781,0.5527636388419583
7,7,東区,1103,964.0,255873,0.3767494030241565
8,8,白石区,1104,488.0,204259,0.238912361266823
9,9,豊平区,1105,897.0,212118,0.4228778321500296
10,10,南区,1106,383.0,146341,0.2617174954387355
11,11,西区,1107,458.0,211229,0.2168262880570376
12,12,厚別区,1108,359.0,128492,0.2793948261370357
13,13,手稲区,1109,198.0,139644,0.1417891209074503
14,14,清田区,1110,358.0,116619,0.3069825671631552
15,15,函館市,1202,667.0,279127,0.2389593267580707
16,16,小樽市,1203,379.0,131928,0.2872779091625735
17,17,旭川市,1204,568.0,347095,0.1636439591466313
18,18,室蘭市,1205,263.0,94535,0.2782038398476755
19,19,釧路市,1206,358.0,181169,0.1976055506184832
20,20,帯広市,1207,422.0,168057,0.2511052797562731
21,21,北見市,1208,261.0,125689,0.2076554034163689
22,22,夕張市,1209,54.0,10922,0.4944149423182567
23,23,岩見沢市,1210,118.0,90145,0.130900216318154
24,24,網走市,1211,169.0,40998,0.41221523001122
25,25,留萌市,1212,113.0,24457,0.4620354090853334
26,26,苫小牧市,1213,378.0,173320,0.2180936995153473
27,27,稚内市,1214,267.0,39595,0.674327566611946
28,28,美唄市,1215,75.0,26034,0.2880848121687024
29,29,芦別市,1216,59.0,16628,0.3548231898003368
30,30,江別市,1217,282.0,123722,0.2279303600006466
31,31,赤平市,1218,42.0,12637,0.3323573632982511
32,32,紋別市,1219,336.0,24750,1.3575757575757577
33,33,士別市,1220,60.0,21787,0.2753935833295084
34,34,名寄市,1221,134.0,30591,0.4380373312412147
35,35,三笠市,1222,13.0,10221,0.1271891204383133
36,36,根室市,1223,318.0,29201,1.0890038012396837
37,37,千歳市,1224,305.0,93604,0.3258407760352121
38,38,滝川市,1225,57.0,43170,0.1320361362056984
39,39,砂川市,1226,22.0,19056,0.1154492023509655
40,40,歌志内市,1227,12.0,4387,0.2735354456348302
41,41,深川市,1228,84.0,23709,0.354295837023915
42,42,富良野市,1229,101.0,24259,0.4163403273012078
43,43,登別市,1230,82.0,51526,0.1591429569537709
44,44,恵庭市,1231,177.0,69384,0.2551020408163265
45,45,伊達市,1233,104.0,36278,0.2866751199073818
46,46,北広島市,1234,115.0,60353,0.1905456232498798
47,47,石狩市,1235,114.0,59449,0.1917610052313748
48,48,北斗市,1236,61.0,48032,0.1269986675549633
49,49,石狩振興局,1300,29.0,22281,0.1301557380727974
50,50,当別町,1303,27.0,18766,0.1438772247681978
51,51,新篠津村,1304,2.0,3515,0.0568990042674253
52,52,渡島総合振興局,1330,489.0,100648,0.4858516811064303
53,53,松前町,1331,22.0,8748,0.2514860539551898
54,54,福島町,1332,15.0,5114,0.2933124755572937
55,55,知内町,1333,1.0,5074,0.0197083169097359
56,56,木古内町,1334,28.0,5341,0.5242463958060288
57,57,七飯町,1337,40.0,28463,0.140533323964445
58,58,鹿部町,1343,45.0,4767,0.9439899307740718
59,59,森町,1345,196.0,17859,1.097485861470407
60,60,八雲町,1346,90.0,18896,0.4762912785774768
61,61,長万部町,1347,52.0,6386,0.8142812402129659
62,62,檜山振興局,1360,108.0,42058,0.2567882448047934
63,63,江差町,1361,10.0,9004,0.1110617503331852
64,64,上ノ国町,1362,23.0,5428,0.423728813559322
65,65,厚沢部町,1363,26.0,4409,0.5897028804717622
66,66,乙部町,1364,1.0,4408,0.0226860254083484
67,67,奥尻町,1367,4.0,3033,0.1318826244642268
68,68,今金町,1370,16.0,6186,0.2586485612673779
69,69,せたな町,1371,28.0,9590,0.291970802919708
70,70,後志総合振興局,1390,702.0,101012,0.6949669346216292
71,71,島牧村,1391,,1781,
72,72,寿都町,1392,50.0,3443,1.4522218995062446
73,73,黒松内町,1393,6.0,3250,0.1846153846153846
74,74,蘭越町,1394,15.0,5292,0.2834467120181406
75,75,ニセコ町,1395,73.0,4823,1.5135807588637775
76,76,真狩村,1396,1.0,2189,0.0456829602558245
77,77,留寿都村,1397,26.0,2034,1.27826941986234
78,78,喜茂別町,1398,2.0,2490,0.0803212851405622
79,79,京極町,1399,8.0,3811,0.2099186565205982
80,80,倶知安町,1400,249.0,15568,1.5994347379239464
81,81,共和町,1401,7.0,6428,0.1088985687616677
82,82,岩内町,1402,26.0,14451,0.1799183447512282
83,83,泊村,1403,2.0,1883,0.1062134891131173
84,84,神恵内村,1404,,1122,
85,85,積丹町,1405,1.0,2516,0.0397456279809221
86,86,古平町,1406,31.0,3611,0.8584879534754916
87,87,仁木町,1407,115.0,3800,3.026315789473684
88,88,余市町,1408,87.0,21258,0.4092576912221282
89,89,赤井川村,1409,3.0,1262,0.2377179080824089
90,90,空知総合振興局,1420,154.0,79345,0.1940891045434495
91,91,南幌町,1423,37.0,8778,0.4215083162451583
92,92,奈井江町,1424,11.0,6194,0.1775912173070713
93,93,上砂川町,1425,11.0,4086,0.2692119432207537
94,94,由仁町,1427,17.0,5896,0.2883310719131614
95,95,長沼町,1428,5.0,11691,0.0427679411513129
96,96,栗山町,1429,43.0,13340,0.3223388305847076
97,97,月形町,1430,15.0,4859,0.3087054949578102
98,98,浦臼町,1431,4.0,2206,0.1813236627379873
99,99,新十津川町,1432,7.0,7249,0.0965650434542695
100,100,妹背牛町,1433,,3462,
101,101,秩父別町,1434,2.0,2730,0.0732600732600732
102,102,雨竜町,1436,2.0,3049,0.0655952771400459
103,103,北竜町,1437,,2193,
104,104,沼田町,1438,,3612,
105,105,上川総合振興局,1450,267.0,96633,0.2763031262612151
106,106,鷹栖町,1452,3.0,7345,0.0408441116405718
107,107,東神楽町,1453,11.0,9292,0.118381403357727
108,108,当麻町,1454,6.0,7087,0.0846620572879921
109,109,比布町,1455,3.0,4042,0.074220682830282
110,110,愛別町,1456,29.0,3328,0.8713942307692308
111,111,上川町,1457,28.0,4532,0.617828773168579
112,112,東川町,1458,72.0,7859,0.9161470925054078
113,113,美瑛町,1459,12.0,10956,0.1095290251916757
114,114,上富良野町,1460,14.0,11545,0.1212646167171936
