統計名：,令和２年国勢調査 人口等基本集計　（主な内容：男女・年齢・配偶関係，世帯の構成，住居の状態，母子・父子世帯，国籍など）,,,,,,,,,,
表番号：,44-1,,,,,,,,,,
表題：,[外国人] 男女，国籍別人口－全国，都道府県，市区町村,,,,,,,,,,
実施年月：,2020年,10月,,,,,,,,,
市区町村時点（年月日）：,-,,,,,,,,,,
,,,,,,,,,,,
NA,欠測値,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,/表章事項 コード,2020_01,2020_01
,,,,,,,,,/表章事項 補助コード,-,-
,,,,,,,,,/表章事項,人口【人】,人口【人】
,,,,,,,,,/国籍 コード,0,1
,,,,,,,,,/国籍 補助コード,-,-
時間軸（年次） コード,時間軸（年次） 補助コード,時間軸（年次）,男女 コード,男女 補助コード,男女,全国，都道府県，市区町村 コード,全国，都道府県，市区町村 補助コード,全国，都道府県，市区町村,/国籍,総数,外国人
2020000000,,2020年,0,,総数,0,,全国,,126146099,2402460
2020000000,,2020年,0,,総数,1000,,北海道,,5224614,34321
2020000000,,2020年,0,,総数,1100,,札幌市,,1973395,12634
2020000000,,2020年,0,,総数,1101,,札幌市中央区,,248680,2413
2020000000,,2020年,0,,総数,1102,,札幌市北区,,289323,2770
2020000000,,2020年,0,,総数,1103,,札幌市東区,,265379,1655
2020000000,,2020年,0,,総数,1104,,札幌市白石区,,211835,1094
2020000000,,2020年,0,,総数,1105,,札幌市豊平区,,225298,1435
2020000000,,2020年,0,,総数,1106,,札幌市南区,,135777,580
2020000000,,2020年,0,,総数,1107,,札幌市西区,,217040,975
2020000000,,2020年,0,,総数,1108,,札幌市厚別区,,125083,670
2020000000,,2020年,0,,総数,1109,,札幌市手稲区,,142625,467
2020000000,,2020年,0,,総数,1110,,札幌市清田区,,112355,575
2020000000,,2020年,0,,総数,1202,,函館市,,251084,989
2020000000,,2020年,0,,総数,1203,,小樽市,,111299,552
2020000000,,2020年,0,,総数,1204,,旭川市,,329306,1082
2020000000,,2020年,0,,総数,1205,,室蘭市,,82383,380
2020000000,,2020年,0,,総数,1206,,釧路市,,165077,815
2020000000,,2020年,0,,総数,1207,,帯広市,,166536,717
2020000000,,2020年,0,,総数,1208,,北見市,,115480,402
2020000000,,2020年,0,,総数,1209,,夕張市,,7334,87
2020000000,,2020年,0,,総数,1210,,岩見沢市,,79306,196
2020000000,,2020年,0,,総数,1211,,網走市,,35759,321
2020000000,,2020年,0,,総数,1212,,留萌市,,20114,134
2020000000,,2020年,0,,総数,1213,,苫小牧市,,170113,722
2020000000,,2020年,0,,総数,1214,,稚内市,,33563,435
2020000000,,2020年,0,,総数,1215,,美唄市,,20413,44
2020000000,,2020年,0,,総数,1216,,芦別市,,12555,17
2020000000,,2020年,0,,総数,1217,,江別市,,121056,635
2020000000,,2020年,0,,総数,1218,,赤平市,,9698,67
2020000000,,2020年,0,,総数,1219,,紋別市,,21215,529
2020000000,,2020年,0,,総数,1220,,士別市,,17858,76
2020000000,,2020年,0,,総数,1221,,名寄市,,27282,50
2020000000,,2020年,0,,総数,1222,,三笠市,,8040,15
2020000000,,2020年,0,,総数,1223,,根室市,,24636,306
2020000000,,2020年,0,,総数,1224,,千歳市,,97950,704
2020000000,,2020年,0,,総数,1225,,滝川市,,39490,109
2020000000,,2020年,0,,総数,1226,,砂川市,,16486,29
2020000000,,2020年,0,,総数,1227,,歌志内市,,2989,10
2020000000,,2020年,0,,総数,1228,,深川市,,20039,110
2020000000,,2020年,0,,総数,1229,,富良野市,,21131,224
2020000000,,2020年,0,,総数,1230,,登別市,,46391,167
2020000000,,2020年,0,,総数,1231,,恵庭市,,70331,438
2020000000,,2020年,0,,総数,1233,,伊達市,,32826,180
2020000000,,2020年,0,,総数,1234,,北広島市,,58171,369
2020000000,,2020年,0,,総数,1235,,石狩市,,56869,451
2020000000,,2020年,0,,総数,1236,,北斗市,,44302,300
2020000000,,2020年,0,,総数,1303,,当別町,,15916,119
2020000000,,2020年,0,,総数,1304,,新篠津村,,3044,8
2020000000,,2020年,0,,総数,1331,,松前町,,6260,42
2020000000,,2020年,0,,総数,1332,,福島町,,3794,36
2020000000,,2020年,0,,総数,1333,,知内町,,4167,63
2020000000,,2020年,0,,総数,1334,,木古内町,,3832,24
2020000000,,2020年,0,,総数,1337,,七飯町,,27686,112
2020000000,,2020年,0,,総数,1343,,鹿部町,,3760,114
2020000000,,2020年,0,,総数,1345,,森町,,14338,313
2020000000,,2020年,0,,総数,1346,,八雲町,,15826,225
2020000000,,2020年,0,,総数,1347,,長万部町,,5109,177
2020000000,,2020年,0,,総数,1361,,江差町,,7428,19
2020000000,,2020年,0,,総数,1362,,上ノ国町,,4306,50
2020000000,,2020年,0,,総数,1363,,厚沢部町,,3592,30
2020000000,,2020年,0,,総数,1364,,乙部町,,3403,17
2020000000,,2020年,0,,総数,1367,,奥尻町,,2410,8
2020000000,,2020年,0,,総数,1370,,今金町,,5072,4
2020000000,,2020年,0,,総数,1371,,せたな町,,7398,30
2020000000,,2020年,0,,総数,1391,,島牧村,,1356,2
2020000000,,2020年,0,,総数,1392,,寿都町,,2838,54
2020000000,,2020年,0,,総数,1393,,黒松内町,,2791,16
2020000000,,2020年,0,,総数,1394,,蘭越町,,4568,38
2020000000,,2020年,0,,総数,1395,,ニセコ町,,5074,246
2020000000,,2020年,0,,総数,1396,,真狩村,,2045,37
2020000000,,2020年,0,,総数,1397,,留寿都村,,1911,113
2020000000,,2020年,0,,総数,1398,,喜茂別町,,2156,63
2020000000,,2020年,0,,総数,1399,,京極町,,2941,53
2020000000,,2020年,0,,総数,1400,,倶知安町,,15129,589
2020000000,,2020年,0,,総数,1401,,共和町,,5772,9
2020000000,,2020年,0,,総数,1402,,岩内町,,11648,47
2020000000,,2020年,0,,総数,1403,,泊村,,1569,3
2020000000,,2020年,0,,総数,1404,,神恵内村,,870,1
2020000000,,2020年,0,,総数,1405,,積丹町,,1831,4
2020000000,,2020年,0,,総数,1406,,古平町,,2745,53
2020000000,,2020年,0,,総数,1407,,仁木町,,3180,67
2020000000,,2020年,0,,総数,1408,,余市町,,18000,125
2020000000,,2020年,0,,総数,1409,,赤井川村,,1165,60
2020000000,,2020年,0,,総数,1423,,南幌町,,7319,46
2020000000,,2020年,0,,総数,1424,,奈井江町,,5120,28
2020000000,,2020年,0,,総数,1425,,上砂川町,,2841,17
2020000000,,2020年,0,,総数,1427,,由仁町,,4822,24
2020000000,,2020年,0,,総数,1428,,長沼町,,10289,26
2020000000,,2020年,0,,総数,1429,,栗山町,,11272,35
2020000000,,2020年,0,,総数,1430,,月形町,,3691,13
2020000000,,2020年,0,,総数,1431,,浦臼町,,1732,8
2020000000,,2020年,0,,総数,1432,,新十津川町,,6484,19
2020000000,,2020年,0,,総数,1433,,妹背牛町,,2693,43
2020000000,,2020年,0,,総数,1434,,秩父別町,,2329,3
2020000000,,2020年,0,,総数,1436,,雨竜町,,2389,9
2020000000,,2020年,0,,総数,1437,,北竜町,,1724,6
2020000000,,2020年,0,,総数,1438,,沼田町,,2909,6
2020000000,,2020年,0,,総数,1452,,鷹栖町,,6567,3
2020000000,,2020年,0,,総数,1453,,東神楽町,,10127,43
2020000000,,2020年,0,,総数,1454,,当麻町,,6319,10
2020000000,,2020年,0,,総数,1455,,比布町,,3520,3
2020000000,,2020年,0,,総数,1456,,愛別町,,2605,40
2020000000,,2020年,0,,総数,1457,,上川町,,3500,48
2020000000,,2020年,0,,総数,1458,,東川町,,8314,266
2020000000,,2020年,0,,総数,1459,,美瑛町,,9668,86
2020000000,,2020年,0,,総数,1460,,上富良野町,,10348,60
2020000000,,2020年,0,,総数,1461,,中富良野町,,4733,34
2020000000,,2020年,0,,総数,1462,,南富良野町,,2376,18
2020000000,,2020年,0,,総数,1463,,占冠村,,1306,145
2020000000,,2020年,0,,総数,1464,,和寒町,,3192,22
2020000000,,2020年,0,,総数,1465,,剣淵町,,2926,1
2020000000,,2020年,0,,総数,1468,,下川町,,3126,26
2020000000,,2020年,0,,総数,1469,,美深町,,4145,35
2020000000,,2020年,0,,総数,1470,,音威子府村,,706,1
2020000000,,2020年,0,,総数,1471,,中川町,,1528,8
2020000000,,2020年,0,,総数,1472,,幌加内町,,1370,2
2020000000,,2020年,0,,総数,1481,,増毛町,,3908,80
2020000000,,2020年,0,,総数,1482,,小平町,,2994,67
2020000000,,2020年,0,,総数,1483,,苫前町,,2936,26
2020000000,,2020年,0,,総数,1484,,羽幌町,,6548,22
2020000000,,2020年,0,,総数,1485,,初山別村,,1080,8
2020000000,,2020年,0,,総数,1486,,遠別町,,2520,60
2020000000,,2020年,0,,総数,1487,,天塩町,,2950,34
2020000000,,2020年,0,,総数,1511,,猿払村,,2611,161
2020000000,,2020年,0,,総数,1512,,浜頓別町,,3448,75
2020000000,,2020年,0,,総数,1513,,中頓別町,,1637,4
2020000000,,2020年,0,,総数,1514,,枝幸町,,7565,130
2020000000,,2020年,0,,総数,1516,,豊富町,,3974,42
2020000000,,2020年,0,,総数,1517,,礼文町,,2509,28
2020000000,,2020年,0,,総数,1518,,利尻町,,2004,1
2020000000,,2020年,0,,総数,1519,,利尻富士町,,2458,11
2020000000,,2020年,0,,総数,1520,,幌延町,,2371,28
2020000000,,2020年,0,,総数,1543,,美幌町,,18697,88
2020000000,,2020年,0,,総数,1544,,津別町,,4373,9
2020000000,,2020年,0,,総数,1545,,斜里町,,11418,187
2020000000,,2020年,0,,総数,1546,,清里町,,3883,2
2020000000,,2020年,0,,総数,1547,,小清水町,,4623,23
2020000000,,2020年,0,,総数,1549,,訓子府町,,4677,28
2020000000,,2020年,0,,総数,1550,,置戸町,,2775,5
2020000000,,2020年,0,,総数,1552,,佐呂間町,,4875,222
2020000000,,2020年,0,,総数,1555,,遠軽町,,19241,69
2020000000,,2020年,0,,総数,1559,,湧別町,,8270,145
2020000000,,2020年,0,,総数,1560,,滝上町,,2421,25
2020000000,,2020年,0,,総数,1561,,興部町,,3628,85
2020000000,,2020年,0,,総数,1562,,西興部村,,1053,28
2020000000,,2020年,0,,総数,1563,,雄武町,,4199,228
2020000000,,2020年,0,,総数,1564,,大空町,,6775,13
2020000000,,2020年,0,,総数,1571,,豊浦町,,3821,62
2020000000,,2020年,0,,総数,1575,,壮瞥町,,2743,26
2020000000,,2020年,0,,総数,1578,,白老町,,16212,189
2020000000,,2020年,0,,総数,1581,,厚真町,,4432,46
2020000000,,2020年,0,,総数,1584,,洞爺湖町,,8442,88
2020000000,,2020年,0,,総数,1585,,安平町,,7340,73
2020000000,,2020年,0,,総数,1586,,むかわ町,,7651,142
2020000000,,2020年,0,,総数,1601,,日高町,,11279,260
2020000000,,2020年,0,,総数,1602,,平取町,,4776,127
2020000000,,2020年,0,,総数,1604,,新冠町,,5309,146
2020000000,,2020年,0,,総数,1607,,浦河町,,12074,256
2020000000,,2020年,0,,総数,1608,,様似町,,4043,26
2020000000,,2020年,0,,総数,1609,,えりも町,,4374,39
2020000000,,2020年,0,,総数,1610,,新ひだか町,,21517,103
2020000000,,2020年,0,,総数,1631,,音更町,,43576,107
2020000000,,2020年,0,,総数,1632,,士幌町,,5848,90
2020000000,,2020年,0,,総数,1633,,上士幌町,,4778,136
2020000000,,2020年,0,,総数,1634,,鹿追町,,5266,75
2020000000,,2020年,0,,総数,1635,,新得町,,5817,33
2020000000,,2020年,0,,総数,1636,,清水町,,9094,135
2020000000,,2020年,0,,総数,1637,,芽室町,,18048,60
2020000000,,2020年,0,,総数,1638,,中札内村,,3884,76
2020000000,,2020年,0,,総数,1639,,更別村,,3080,8
2020000000,,2020年,0,,総数,1641,,大樹町,,5420,108
2020000000,,2020年,0,,総数,1642,,広尾町,,6387,51
2020000000,,2020年,0,,総数,1643,,幕別町,,25766,108
