全国，都道府県，市区町村,Unnamed: 0,自治体コード,人口総数,うち外国人数,外国人比率（%）
全国,0,0,126146099.0,2402460.0,1.9045059807992957
北海道,1,1000,5224614.0,34321.0,0.6569097736215537
札幌市,2,1100,1973395.0,12634.0,0.6402164797214952
札幌市中央区,3,1101,248680.0,2413.0,0.9703233070612836
札幌市北区,4,1102,289323.0,2770.0,0.9574074650131514
札幌市東区,5,1103,265379.0,1655.0,0.6236363841901582
札幌市白石区,6,1104,211835.0,1094.0,0.5164396818278377
札幌市豊平区,7,1105,225298.0,1435.0,0.6369341938232919
札幌市南区,8,1106,135777.0,580.0,0.4271710230746002
札幌市西区,9,1107,217040.0,975.0,0.4492259491338002
札幌市厚別区,10,1108,125083.0,670.0,0.5356443321634435
札幌市手稲区,11,1109,142625.0,467.0,0.3274320771253287
札幌市清田区,12,1110,112355.0,575.0,0.511770726714432
函館市,13,1202,251084.0,989.0,0.3938920839241051
小樽市,14,1203,111299.0,552.0,0.4959613293919981
旭川市,15,1204,329306.0,1082.0,0.3285697800829624
室蘭市,16,1205,82383.0,380.0,0.4612602114513917
釧路市,17,1206,165077.0,815.0,0.4937089964077369
帯広市,18,1207,166536.0,717.0,0.4305375414324831
北見市,19,1208,115480.0,402.0,0.3481122272254935
夕張市,20,1209,7334.0,87.0,1.186255794927734
岩見沢市,21,1210,79306.0,196.0,0.2471439739742264
網走市,22,1211,35759.0,321.0,0.8976761095108924
留萌市,23,1212,20114.0,134.0,0.6662026449239336
苫小牧市,24,1213,170113.0,722.0,0.424423765379483
稚内市,25,1214,33563.0,435.0,1.2960700771683102
美唄市,26,1215,20413.0,44.0,0.215548914907167
芦別市,27,1216,12555.0,17.0,0.1354042214257267
江別市,28,1217,121056.0,635.0,0.5245506212001056
赤平市,29,1218,9698.0,67.0,0.690864095689833
紋別市,30,1219,21215.0,529.0,2.4935187367428706
士別市,31,1220,17858.0,76.0,0.4255795721805353
名寄市,32,1221,27282.0,50.0,0.18327102118613
三笠市,33,1222,8040.0,15.0,0.1865671641791044
根室市,34,1223,24636.0,306.0,1.2420847540185096
千歳市,35,1224,97950.0,704.0,0.7187340479836651
滝川市,36,1225,39490.0,109.0,0.2760192453785768
砂川市,37,1226,16486.0,29.0,0.1759068300376076
歌志内市,38,1227,2989.0,10.0,0.3345600535296085
深川市,39,1228,20039.0,110.0,0.5489295873047557
富良野市,40,1229,21131.0,224.0,1.060053949174199
登別市,41,1230,46391.0,167.0,0.3599836175120174
恵庭市,42,1231,70331.0,438.0,0.6227694757645988
伊達市,43,1233,32826.0,180.0,0.5483458234326449
北広島市,44,1234,58171.0,369.0,0.6343366969795946
石狩市,45,1235,56869.0,451.0,0.7930506954579823
北斗市,46,1236,44302.0,300.0,0.6771703309105683
当別町,47,1303,15916.0,119.0,0.7476752953003267
新篠津村,48,1304,3044.0,8.0,0.2628120893561104
松前町,49,1331,6260.0,42.0,0.670926517571885
福島町,50,1332,3794.0,36.0,0.9488666315234582
知内町,51,1333,4167.0,63.0,1.511879049676026
木古内町,52,1334,3832.0,24.0,0.6263048016701461
七飯町,53,1337,27686.0,112.0,0.4045365888896916
鹿部町,54,1343,3760.0,114.0,3.0319148936170213
森町,55,1345,14338.0,313.0,2.183010182731204
八雲町,56,1346,15826.0,225.0,1.421711108302793
長万部町,57,1347,5109.0,177.0,3.464474456840869
江差町,58,1361,7428.0,19.0,0.2557889068389876
上ノ国町,59,1362,4306.0,50.0,1.1611704598235022
厚沢部町,60,1363,3592.0,30.0,0.8351893095768375
乙部町,61,1364,3403.0,17.0,0.4995592124595944
奥尻町,62,1367,2410.0,8.0,0.3319502074688796
今金町,63,1370,5072.0,4.0,0.0788643533123028
せたな町,64,1371,7398.0,30.0,0.40551500405515
島牧村,65,1391,1356.0,2.0,0.1474926253687315
寿都町,66,1392,2838.0,54.0,1.9027484143763216
黒松内町,67,1393,2791.0,16.0,0.573271228950197
蘭越町,68,1394,4568.0,38.0,0.8318739054290718
ニセコ町,69,1395,5074.0,246.0,4.848245959795033
真狩村,70,1396,2045.0,37.0,1.809290953545232
留寿都村,71,1397,1911.0,113.0,5.913134484563056
喜茂別町,72,1398,2156.0,63.0,2.922077922077922
京極町,73,1399,2941.0,53.0,1.8021081264875891
倶知安町,74,1400,15129.0,589.0,3.893185273316148
