全国，都道府県，市区町村,自治体コード,人口総数,うち外国人数,外国人比率（%）,2010年外国人比率（％）
全国,0,126146099.0,2402460.0,1.9045059807992957,1.2869522711979864
北海道,1000,5224614.0,34321.0,0.6569097736215537,0.3319761899702874
札幌市,1100,1973395.0,12634.0,0.6402164797214952,0.3590717751607618
札幌市中央区,1101,248680.0,2413.0,0.9703233070612836,0.5563402349799491
札幌市北区,1102,289323.0,2770.0,0.9574074650131514,0.5527636388419583
札幌市東区,1103,265379.0,1655.0,0.6236363841901582,0.3767494030241565
札幌市白石区,1104,211835.0,1094.0,0.5164396818278377,0.238912361266823
札幌市豊平区,1105,225298.0,1435.0,0.6369341938232919,0.4228778321500296
札幌市南区,1106,135777.0,580.0,0.4271710230746002,0.2617174954387355
札幌市西区,1107,217040.0,975.0,0.4492259491338002,0.2168262880570376
札幌市厚別区,1108,125083.0,670.0,0.5356443321634435,0.2793948261370357
札幌市手稲区,1109,142625.0,467.0,0.3274320771253287,0.1417891209074503
札幌市清田区,1110,112355.0,575.0,0.511770726714432,0.3069825671631552
函館市,1202,251084.0,989.0,0.3938920839241051,0.2389593267580707
小樽市,1203,111299.0,552.0,0.4959613293919981,0.2872779091625735
旭川市,1204,329306.0,1082.0,0.3285697800829624,0.1636439591466313
室蘭市,1205,82383.0,380.0,0.4612602114513917,0.2782038398476755
釧路市,1206,165077.0,815.0,0.4937089964077369,0.1976055506184832
帯広市,1207,166536.0,717.0,0.4305375414324831,0.2511052797562731
北見市,1208,115480.0,402.0,0.3481122272254935,0.2076554034163689
夕張市,1209,7334.0,87.0,1.186255794927734,0.4944149423182567
岩見沢市,1210,79306.0,196.0,0.2471439739742264,0.130900216318154
網走市,1211,35759.0,321.0,0.8976761095108924,0.41221523001122
留萌市,1212,20114.0,134.0,0.6662026449239336,0.4620354090853334
苫小牧市,1213,170113.0,722.0,0.424423765379483,0.2180936995153473
稚内市,1214,33563.0,435.0,1.2960700771683102,0.674327566611946
美唄市,1215,20413.0,44.0,0.215548914907167,0.2880848121687024
芦別市,1216,12555.0,17.0,0.1354042214257267,0.3548231898003368
江別市,1217,121056.0,635.0,0.5245506212001056,0.2279303600006466
赤平市,1218,9698.0,67.0,0.690864095689833,0.3323573632982511
紋別市,1219,21215.0,529.0,2.4935187367428706,1.3575757575757577
士別市,1220,17858.0,76.0,0.4255795721805353,0.2753935833295084
名寄市,1221,27282.0,50.0,0.18327102118613,0.4380373312412147
三笠市,1222,8040.0,15.0,0.1865671641791044,0.1271891204383133
根室市,1223,24636.0,306.0,1.2420847540185096,1.0890038012396837
千歳市,1224,97950.0,704.0,0.7187340479836651,0.3258407760352121
滝川市,1225,39490.0,109.0,0.2760192453785768,0.1320361362056984
砂川市,1226,16486.0,29.0,0.1759068300376076,0.1154492023509655
歌志内市,1227,2989.0,10.0,0.3345600535296085,0.2735354456348302
