"第１表   男女別人口 (各年10月1日現在) - 総人口,日本人人口（平成12年～27年）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 1.    Population by Sex (as of October 1 of Each Year) - Total population , Japanese population (from 2000 to 2015)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(単位　千人),,,,,,,,(Thousand persons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,総　人　口        Total population,,,日本人人口       Japanese population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　年　　次　　,,,男女計,男,女,男女計,男,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year ,,,Both sexes,Male,Female,Both sexes,Male,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平成12年,2000,1),"126,926 ","62,111 ","64,815 ","125,613 ","61,488 ","64,125 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　13年,2001,,"127,316 ","62,265 ","65,051 ","125,930 ","61,615 ","64,316 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　14年,2002,,"127,486 ","62,295 ","65,190 ","126,053 ","61,629 ","64,424 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　15年,2003,,"127,694 ","62,368 ","65,326 ","126,206 ","61,677 ","64,529 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　16年,2004,,"127,787 ","62,380 ","65,407 ","126,266 ","61,674 ","64,592 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　17年,2005,1),"127,768 ","62,349 ","65,419 ","126,205 ","61,618 ","64,587 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　18年,2006,,"127,901 ","62,387 ","65,514 ","126,286 ","61,630 ","64,656 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　19年,2007,,"128,033 ","62,424 ","65,608 ","126,347 ","61,635 ","64,712 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　20年,2008,,"128,084 ","62,422 ","65,662 ","126,340 ","61,609 ","64,730 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　21年,2009,,"128,032 ","62,358 ","65,674 ","126,343 ","61,586 ","64,757 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　22年,2010,1),"128,057 ","62,328 ","65,730 ","126,382 ","61,572 ","64,810 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　23年,2011,,"127,834 ","62,207 ","65,627 ","126,210 ","61,477 ","64,732 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　24年,2012,,"127,593 ","62,080 ","65,513 ","126,023 ","61,379 ","64,644 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　25年,2013,,"127,414 ","61,985 ","65,429 ","125,803 ","61,263 ","64,540 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　26年,2014,,"127,237 ","61,901 ","65,336 ","125,562 ","61,142 ","64,419 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　27年,2015,1),"127,095 ","61,842 ","65,253 ","125,319 ","61,023 ","64,297 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*　補間補正人口である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注  1） 国勢調査による人口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　　日本人人口には総人口に対する日本人人口の割合であん分した国籍不詳を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* With intercensal adjustment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note   1)   The Census population.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                 Japanese population includes a portion of persons with unknown nationality ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                 who are counted as Japanese based on the proportion of the Japanese to the total population.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
