第１表   男女別人口 (各年10月1日現在) - 総人口、日本人人口（2015年～2020年）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 1.    Population by Sex (as of October 1 of Each Year) - Total population , Japanese population (from 2015 to 2020)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(単位　千人),,,,,,,(Thousand persons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,総　人　口        Total population,,,日本人人口       Japanese population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　年　　次　　,,男女計,男,女,男女計,男,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year ,,Both sexes,Male,Female,Both sexes,Male,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1),"127,095","61,842","65,253","125,319","61,023","64,297",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,"127,042","61,816","65,226","125,071","60,892","64,180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,"126,919","61,753","65,165","124,745","60,722","64,022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,"126,749","61,673","65,076","124,349","60,518","63,831",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,"126,555","61,588","64,967","123,886","60,282","63,605",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,2),"126,146","61,350","64,797","123,399","60,003","63,396",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,125502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,124947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,124352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,,123802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*　補間補正人口である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注  1） 国勢調査による人口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　　日本人人口には総人口に対する日本人人口の割合であん分した国籍不詳を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2） 国勢調査による人口（不詳補完値）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* With intercensal adjustment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note   1)   The Census population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                 Japanese population includes a portion of persons with unknown nationality ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                 who are counted as Japanese based on the proportion of the Japanese to the total population.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2)   The Census population (Result with Imputation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
